Model,Scenario,Region,Variable,Unit,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2030,2040,2050,2060,2070,2080,2090,2100
AIM/CGE,SSP3-7.0-SPA0,World,Emissions|CH4|Grassland Burning,Mt CH4/yr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7181411153789,,,,,6.050263677185284,6.7365673594792375,7.427821984159819,8.120011165938175,8.795722986236832,9.447971148452293,10.08337550822002,10.70045888798033,11.299514473039427
AIM/CGE,SSP3-7.0-SPA0,World,Emissions|CH4|Industrial Sector,Mt CH4/yr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8895679640769651,,,,,1.022946359504041,1.240151524686945,1.413504481723221,1.5772037196170767,1.7590401265119082,1.983247889618651,2.2560833571447327,2.5627747121972044,2.908965125479781
AIM/CGE,SSP3-7.0-SPA0,World,Emissions|CH4|International Shipping,Mt CH4/yr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0272759821327494,,,,,0.03117854573020432,0.0360462594646642,0.03751496619488917,0.03747300314545418,0.03667570520618919,0.03596233336579421,0.03508110932765922,0.03419988528952424,0.03344455039969426
AIM/CGE,SSP3-7.0-SPA0,World,Emissions|CH4|Peat Burning,Mt CH4/yr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.877432502294,,,,,1.877432502294,1.877432502294,1.877432502294,1.877432502294,1.877432502294,1.877432502294,1.877432502294,1.877432502294,1.877432502294
AIM/CGE,SSP3-7.0-SPA0,World,Emissions|CH4|Residential Commercial Other,Mt CH4/yr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.00282671672442,,,,,12.29381935042406,12.710939435937481,12.86733278054086,12.849555307046616,12.70493227139601,12.506364810568964,12.309692410548847,12.211320266423481,12.12840622622675
AIM/CGE,SSP3-7.0-SPA0,World,Emissions|CH4|Transportation Sector,Mt CH4/yr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5637840489868394,,,,,0.6763754973903469,0.8614923764961196,0.9997314640425128,1.073200460104478,1.0994660713046809,1.11749006854969,1.126081535509916,1.123193186176761,1.109572105393384
AIM/CGE,SSP3-7.0-SPA0,World,Emissions|CH4|Waste,Mt CH4/yr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.30017214534826,,,,,73.12037498128808,85.46303064460304,95.85830750139091,105.437194456841,114.3508614169528,123.12589881169892,132.1318871847169,140.5133156260712,149.1080969164836
AIM/CGE,SSP3-7.0-SPA0,World,Emissions|CO,Mt CO/yr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,934.2998008065777,,,,,968.1999427514199,985.3938278618024,1002.73394988928,996.0363135100612,969.8198129675876,946.5924810978073,926.1327891215317,919.4180302643148,915.4250239611706
AIM/CGE,SSP3-7.0-SPA0,World,Emissions|CO2,Pg C/yr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.744627406970904,,,,,13.442411467251976,15.85420779505644,17.54939094831773,18.871217586668863,19.97051028457549,21.01259357022946,22.02156777638048,23.339714826380487,24.81774993638048
AIM/CGE,SSP3-7.0-SPA0,World,Emissions|CO2|AFOLU,Mt CO2/yr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3517.44,,,,,3875.091862734712,3518.037632991311,3161.907297286772,2889.126278284135,3144.546762522362,3048.513955956734,2843.3053,2564.9364,2656.1211
AIM/CGE,SSP3-7.0-SPA0,World,Emissions|CO2|Aircraft,Mt CO2/yr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,764.5421851413048,,,,,965.1444933627046,1362.940985902228,1737.286122220119,2069.669141753242,2385.759342086613,2729.612848301465,3089.4813,3255.4040000000005,3424.3714
AIM/CGE,SSP3-7.0-SPA0,World,Emissions|CO2|Energy Sector,Mt CO2/yr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15369.704871747568,,,,,17909.552204834632,22808.41278847987,27156.295053150752,31484.00647505225,35181.57036494605,39197.68241975628,43379.5961,47667.1287,52224.93469999999
AIM/CGE,SSP3-7.0-SPA0,World,Emissions|CO2|Industrial Sector,Mt CO2/yr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8929.062335065637,,,,,10099.71173826554,11568.602251209091,12272.293475328039,12655.834446528908,12867.54296723518,12977.575634415149,12990.0945,13635.9248,14259.8797
